Bulan,kecamatan,kelurahan,jumlah_pasangan_usia_subur,jumlah_target_pus,jumlah_pus_istrinya_kurang_dari_20_tahun,jumlah_pus_tidak_terpenuhi_berkb,jumlah_akseptor_kb,jumlah_peserta_kb_baru,jumlah_peserta_kb_aktif,penambahanpengurangan_peserta_kb_aktif,jumlah_peserta_kb_baru_yang_menggunakan_mkjp,prosentase_peserta_kb_aktif,jumlah_peserta_kb_aktif_yang_dropout_kontrasepsi
Apr-23,KENJERAN,KENJERAN,23459,23459,0,3207,15465,70,15397,632,3,65.63365872,154
Apr-23,LAKARSANTRI,LAKARSANTRI,7910,7910,0,1010,5747,5,5714,304,1,72.23767383,0
Apr-23,BENOWO,BENOWO,11738,11738,0,2165,7483,15,7445,341,0,63.42647811,47
Apr-23,WIYUNG,WIYUNG,8708,8708,0,1358,5631,11,5554,138,1,63.78043179,38
Apr-23,DUKUH PAKIS,DUKUH PAKIS,7189,7189,0,1384,4731,5,4685,234,1,65.16900821,36
Apr-23,GAYUNGAN,GAYUNGAN,4277,4277,0,939,2878,7,2843,182,4,66.47182605,1
Apr-23,JAMBANGAN,JAMBANGAN,7010,7010,0,1088,5190,19,5143,322,2,73.36661912,0
Apr-23,TENGGILIS MEJOYO,TENGGILIS MEJOYO,8534,8534,0,1587,4935,18,4893,152,1,57.33536442,39
Apr-23,GUNUNG ANYAR,GUNUNG ANYAR,7470,7470,0,1587,4609,9,4564,243,3,61.09772423,28
Apr-23,MULYOREJO,MULYOREJO,6747,6747,0,1395,4659,57,4589,219,2,68.01541426,25
Apr-23,SUKOMANUNGGAL,SUKOMANUNGGAL,9880,9880,1,1803,6522,13,6498,322,0,65.76923077,45
Apr-23,ASEM ROWO,ASEM ROWO,6343,6343,0,780,5098,9,5071,283,2,79.9463976,49
Apr-23,BULAK,BULAK,7349,7349,1,1242,4926,8,4898,164,1,66.64852361,59
Apr-23,PAKAL,PAKAL,8938,8938,0,1455,6116,12,6084,234,1,68.06891922,22
Apr-23,SAMBIKEREP,SAMBIKEREP,8797,8797,0,1234,6393,14,6357,156,1,72.26327157,41
